Fear,Ultra Nerd,Technically Saavy,Average User,Luddite
The loss of privacy,6730,23900,24119,2225
We'll be less safe,1960,7570,7950,747
We'll lose touch with one another,2932,12705,14520,1461
I have no fears about a connected future ,1167,3761,4086,385
